Date,Alex Haley,Alice Walker,Ann Petry,Barbara Neely,Charles Chesnutt,Charles R. Johnson,Chester Himes,Claude McKay,Colson Whitehead,David Bradley,Edward P. Jones,Edwidge Danticat,Ernest J. Gaines,Gayl Jones,George Schuyler,Gloria Naylor,Gwendolyn Brooks,Henry Dumas,Ishmael Reed,Jacqueline Woodson,James Baldwin,James Weldon Johnson,Jean Toomer,Jesmyn Ward,John A. Williams,John Oliver Killens,Langston Hughes,Margaret Walker,Marlon James,Nalo Hopkinson,Nella Larsen,Octavia E. Butler,Paul Beatty,Paul Laurence Dunbar,Paule Marshall,Pauline Hopkins,Ralph Ellison,Richard Wright,Rudolph Fisher,Sister Souljah,Suzan-Lori Parks,Tayari Jones,Terry McMillan,Toni Cade Bambara,Toni Morrison,W.E.B. Bois,Walter Mosley,Zora Neale Hurston
7/1/2020,31013,74860,1832,885,99,1318,3775,5865,35092,283,1708,4102,2658,1156,2599,1548,6087,1646,28914,5872,346308,55238,3930,7385,12,486,63456,2474,130,1765,6926,43408,4469,7429,790,708,19962,21860,362,22676,2872,5089,8363,3483,102420,56,8693,32573
8/1/2020,22835,45617,2721,806,81,1048,3294,5313,24038,341,5488,4474,2442,8805,2193,1598,5882,1410,4527,6009,229175,10831,2920,5998,16,420,49909,1527,96,1692,6608,37094,3518,6627,796,621,16230,18868,318,19446,2549,4081,8884,2998,81551,33,7714,30771
9/1/2020,17020,48102,1886,798,81,1110,2830,6481,23679,267,2362,4754,2466,1644,1796,1600,7091,1174,3692,9196,132199,21154,3369,57737,25,418,76166,1555,108,1546,5298,47716,3098,8468,720,817,15273,17963,458,25360,3190,3849,5259,3867,77591,39,7805,35784
10/1/2020,16317,44525,1761,635,77,1257,3124,7426,18203,238,2415,4351,2468,1275,1805,1464,7448,1310,6100,9311,144188,9101,3709,8285,10,362,62947,1815,105,1581,5463,34900,3110,8324,774,893,14714,17547,597,7417,3566,3317,5436,3847,70749,54,8961,39537
11/1/2020,17298,49623,1317,616,63,941,3052,6722,17456,238,1580,4498,2065,1001,1392,1302,7942,961,3994,6136,157586,7814,3226,8189,2,445,61193,1500,100,1588,4744,32414,4034,6943,695,682,13245,16125,656,10747,3701,2888,5054,2932,70951,54,7879,29476
12/1/2020,18444,37614,976,566,74,1010,6032,6796,16505,225,2048,3243,2210,1043,1377,1260,6321,1033,3655,5321,116565,8704,3279,7711,9,345,51517,1343,99,2633,4727,31860,3321,6587,624,596,16112,16288,563,16670,3158,2678,6113,3002,80323,44,24981,28448
1/1/2021,29473,64482,1354,584,74,1196,3378,7223,19085,280,1907,3865,7900,1083,1464,1767,9496,1330,4514,7489,192480,12166,3623,8023,8,499,69634,1509,104,2764,6786,40659,3736,8500,818,709,15869,17747,983,11484,3816,3755,5465,3216,317014,58,11690,41626
2/1/2021,51149,61965,1808,664,105,1210,4495,11708,19916,299,2098,4492,5657,1235,2186,2061,20950,1300,4896,10452,212820,23605,4712,7808,11,653,124713,3017,110,2204,9451,87782,3496,15376,1054,1204,24076,36402,2663,11443,7203,3659,5603,3893,190127,77,15284,61384
3/1/2021,28322,57101,1936,796,100,1220,4690,10311,107897,267,1873,3995,2915,1428,1929,1932,10507,1245,5071,8722,144345,11730,4506,6537,4,483,70031,1991,106,2320,7512,96900,3479,14917,1074,1040,17280,21019,1164,33303,14249,3094,8020,4581,104448,43,12566,44317
4/1/2021,20625,46735,1333,596,66,919,5158,7540,19702,390,1486,3568,2795,1063,1625,1557,7489,1441,3816,6505,116128,8131,3660,5779,4,349,55204,1556,94,1986,5243,41296,3066,7393,1100,719,18683,22316,731,11806,7885,2657,5177,2876,88573,33,11414,32942
5/1/2021,18972,42719,1198,448,85,961,3845,7095,62390,226,1396,2896,2243,1020,1958,1260,6432,1497,3709,5521,96624,7762,3189,5139,10,443,51667,1561,123,1582,5004,34652,3141,6431,689,611,14913,21265,650,7768,3791,2268,9694,2374,78732,40,8896,30219
