author,views
Colson Whitehead,789.3
Colson Whitehead,587.2
Colson Whitehead,581.9
Colson Whitehead,532.4
Colson Whitehead,615.6
Colson Whitehead,711.3
Colson Whitehead,3480.5
Colson Whitehead,656.7
Colson Whitehead,2012.6
Colson Whitehead,801.7
Colson Whitehead,1905.5
Colson Whitehead,672.8
Colson Whitehead,1807.1
Colson Whitehead,1075.1
Colson Whitehead,694.0
Colson Whitehead,804.8
Colson Whitehead,823.0
Colson Whitehead,722.3
Colson Whitehead,662.5
David Bradley,10.1
David Bradley,9.0
David Bradley,13.1
David Bradley,13.9
David Bradley,9.5
David Bradley,10.5
David Bradley,10.2
David Bradley,45.4
David Bradley,53.1
David Bradley,11.2
David Bradley,8.7
David Bradley,6.9
David Bradley,6.5
David Bradley,10.8
David Bradley,9.5
David Bradley,8.3
David Bradley,9.4
David Bradley,8.8
David Bradley,10.4
David Bradley,20.3
David Bradley,10.1
David Bradley,8.5
David Bradley,7.8
David Bradley,6.6
David Bradley,7.8
David Bradley,7.0
David Bradley,16.4
David Bradley,8.0
David Bradley,7.9
David Bradley,7.4
David Bradley,12.1
David Bradley,12.3
David Bradley,10.0
David Bradley,10.3
David Bradley,6.6
David Bradley,6.4
David Bradley,6.6
David Bradley,15.6
David Bradley,13.1
David Bradley,7.3
David Bradley,8.1
David Bradley,7.1
David Bradley,9.1
David Bradley,13.4
David Bradley,9.4
David Bradley,9.2
David Bradley,5.2
David Bradley,7.2
David Bradley,6.7
David Bradley,6.2
David Bradley,6.8
David Bradley,7.8
David Bradley,8.1
David Bradley,6.5
David Bradley,9.2
David Bradley,8.9
David Bradley,7.4
David Bradley,7.9
David Bradley,8.2
David Bradley,13.2
David Bradley,9.1
David Bradley,11.0
David Bradley,8.9
David Bradley,7.7
David Bradley,7.9
David Bradley,7.3
David Bradley,9.0
David Bradley,10.7
David Bradley,8.6
David Bradley,13.0
David Bradley,7.3
David Bradley,7.4
David Bradley,5.3
David Bradley,7.0
David Bradley,6.3
David Bradley,7.5
David Bradley,8.6
David Bradley,5.5
David Bradley,6.4
David Bradley,10.0
David Bradley,11.0
Edward P. Jones,45.0
Edward P. Jones,50.4
Edward P. Jones,55.0
Edward P. Jones,56.9
Edward P. Jones,55.1
Edward P. Jones,56.1
Edward P. Jones,65.4
Edward P. Jones,67.5
Edward P. Jones,50.2
Edward P. Jones,51.7
Edward P. Jones,46.1
Edward P. Jones,41.3
Edward P. Jones,44.3
Edward P. Jones,52.6
Edward P. Jones,64.3
Edward P. Jones,54.9
Edward P. Jones,55.6
Edward P. Jones,50.8
Edward P. Jones,54.9
Edward P. Jones,59.8
Edward P. Jones,51.5
Edward P. Jones,51.0
Edward P. Jones,47.6
Edward P. Jones,45.3
Edward P. Jones,46.4
Edward P. Jones,43.8
Edward P. Jones,52.2
Edward P. Jones,54.9
Edward P. Jones,53.2
Edward P. Jones,45.8
Edward P. Jones,54.6
Edward P. Jones,60.0
Edward P. Jones,50.2
Edward P. Jones,51.7
Edward P. Jones,49.0
Edward P. Jones,43.5
Edward P. Jones,53.0
Edward P. Jones,54.1
Edward P. Jones,61.5
Edward P. Jones,58.4
Edward P. Jones,50.1
Edward P. Jones,41.4
Edward P. Jones,53.2
Edward P. Jones,57.4
Edward P. Jones,55.8
Edward P. Jones,44.3
Edward P. Jones,40.2
Edward P. Jones,40.9
Edward P. Jones,43.1
Edward P. Jones,45.7
Edward P. Jones,53.2
Edward P. Jones,47.2
Edward P. Jones,52.5
Edward P. Jones,46.7
Edward P. Jones,46.6
Edward P. Jones,53.3
Edward P. Jones,41.5
Edward P. Jones,49.7
Edward P. Jones,45.8
Edward P. Jones,69.1
Edward P. Jones,55.1
Edward P. Jones,177.0
Edward P. Jones,78.7
Edward P. Jones,77.9
Edward P. Jones,52.7
Edward P. Jones,66.1
Edward P. Jones,61.5
Edward P. Jones,74.9
Edward P. Jones,60.4
Edward P. Jones,49.5
Edward P. Jones,45.0
